algo;size;random;order;rng;time
quick;1000000;0.0;f;f;0.19054
selection;10;0.95;t;f;0.0020499999999999997
selection;100;0.0;t;t;0.0020800000000000003
quick;1000;1.0;t;f;0.00357
heap;10000;0.0;f;t;0.00225
selection;10000;1.0;t;t;0.0925
quick;100;1.0;f;t;0.00221
heap;1000;0.8;f;t;0.002
selection;1000000;1.0;f;f;824.40258
insertion;1000000;0.0;f;f;526.9889300000001
cartesiantree;10;0.8;f;t;0.00282
heap;10000;0.8;f;f;0.00361
merge;10;0.95;t;f;0.00228
heap;100000;0.8;f;f;0.01858
bubble;100000;0.0;t;t;35.90865
quick;1000;0.95;t;f;0.00217
selection;100;0.8;t;t;0.0020099999999999996
insertion;10;0.8;t;t;0.00195
cartesiantree;100000;1.0;t;t;0.014199999999999999
selection;1000;0.0;f;f;0.00323
insertion;100;0.0;f;t;0.0034500000000000004
heap;100000;0.0;f;f;0.02054
selection;10;0.8;t;t;0.00199
bubble;100;0.0;f;f;0.0020299999999999997
quick;100;0.8;t;f;0.00227
quick;1000;0.8;f;t;0.00204
selection;1000000;0.8;t;f;976.42694
cartesiantree;1000;0.8;t;f;0.00244
insertion;100000;0.8;f;f;6.39677
merge;10000;0.95;t;f;0.00361
merge;1000;1.0;f;f;0.0024500000000000004
selection;10;1.0;t;f;0.00177
bubble;100000;0.8;t;t;25.79691
heap;10;0.8;t;f;0.00232
cartesiantree;1000;1.0;t;t;0.00231
merge;10;1.0;t;f;0.0020099999999999996
quick;10000;1.0;f;f;0.15106999999999998
bubble;100000;0.8;t;f;30.397080000000003
selection;100;0.0;t;f;0.00216
merge;100000;1.0;t;f;0.01491
bubble;100000;1.0;f;f;41.17417
merge;100;1.0;f;f;0.0025800000000000003
insertion;10000;0.95;t;f;0.00604
cartesiantree;1000000;0.0;f;f;0.91746
bubble;1000;0.8;f;f;0.00578
quick;100000;1.0;t;t;12.95364
quick;10000;0.8;t;t;0.00333
heap;1000;1.0;f;t;0.00172
insertion;100000;1.0;f;t;9.003860000000001
quick;1000;0.0;f;f;0.0024500000000000004
cartesiantree;10000;0.0;f;t;0.00579
bubble;1000;0.8;t;t;0.00387
selection;100000;0.8;t;f;9.639809999999999
cartesiantree;10;1.0;t;t;0.002
bubble;100;1.0;t;f;0.00225
merge;100000;0.8;t;t;0.020079999999999997
selection;10000;0.0;f;f;0.09212000000000001
quick;10000;0.8;f;f;0.00419
selection;1000000;0.8;t;t;809.92711
heap;1000000;0.8;t;t;0.05756
cartesiantree;1000000;1.0;t;t;0.17293
quick;10000;0.0;f;t;0.00325
quick;100;0.0;f;t;0.0025499999999999997
bubble;100;1.0;f;f;0.0025299999999999997
heap;1000000;0.8;f;f;0.23131000000000002
heap;1000;0.0;f;f;0.0030800000000000003
selection;10000;0.8;t;f;0.09287000000000001
bubble;100;0.95;t;f;0.00202
bubble;1000000;0.8;t;f;2090.76005
merge;1000;1.0;t;t;0.00226
quick;1000000;0.0;t;t;0.16631
insertion;1000;1.0;f;t;0.003
merge;10000;0.0;f;f;0.00438
cartesiantree;1000000;1.0;t;f;0.14739
insertion;10000;0.8;f;t;0.05986
merge;10;0.0;t;t;0.0015400000000000001
cartesiantree;1000;0.8;f;f;0.0019
insertion;100000;0.8;f;t;6.091060000000001
selection;100;1.0;t;f;0.00202
selection;1000;0.95;t;f;0.00285
selection;100;0.0;f;f;0.0027400000000000002
cartesiantree;10;0.0;t;t;0.0019399999999999999
heap;10000;0.8;f;t;0.0025099999999999996
bubble;10000;0.0;f;f;0.5348200000000001
merge;100000;0.8;f;t;0.020149999999999998
heap;10000;0.8;t;f;0.00326
quick;10;0.0;f;t;0.00209
heap;10;1.0;f;f;0.00191
heap;1000000;0.0;f;t;0.05937
insertion;100000;0.95;t;f;0.5746100000000001
bubble;1000000;0.0;f;f;4398.25206
quick;10000;1.0;t;f;0.12891999999999998
selection;1000000;0.8;f;t;800.28095
insertion;100000;0.8;t;t;1.84947
merge;1000000;0.8;t;t;0.17185
quick;100;0.8;f;f;0.00202
bubble;100;0.0;t;f;0.0018700000000000001
heap;100;0.0;f;f;0.00197
selection;10000;0.0;t;t;0.08857
heap;100000;0.8;t;t;0.00743
merge;1000000;0.0;t;f;0.23392
merge;1000;0.8;f;f;0.00227
merge;10000;0.8;f;t;0.0035
quick;1000;1.0;f;f;0.00346
cartesiantree;100000;0.95;t;f;0.027280000000000002
heap;100;0.0;t;f;0.0022299999999999998
merge;10;0.0;f;t;0.00261
bubble;100;0.8;t;t;0.00198
bubble;10000;0.0;f;t;0.33742
selection;100000;1.0;f;f;7.64064
cartesiantree;100;1.0;f;f;0.0025800000000000003
bubble;10000;0.8;t;f;0.19319
quick;100000;1.0;f;t;13.224530000000001
